dataset,arm,scale,model_scale,prompt,cum_regret@0_mean,cum_regret@0_std,cum_regret@1_mean,cum_regret@1_std,cum_regret@2_mean,cum_regret@2_std,cum_regret@3_mean,cum_regret@3_std,cum_regret@4_mean,cum_regret@4_std,cum_regret@5_mean,cum_regret@5_std,cum_regret@6_mean,cum_regret@6_std,cum_regret@7_mean,cum_regret@7_std
abandit,sent_helpful,high_neg_scale,8B,fullhist,50.0,0.0,50.0,0.0,200.0,0.0,200.0,0.0,216.66666666666663,23.570226039551585,233.33333333333337,23.570226039551585,233.33333333333337,23.570226039551585,250.0,40.824829046386306
abandit,sent_helpful,high_neg_scale,8B,summhist,33.333333333333336,23.570226039551585,50.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
abandit,sent_helpful,high_scale,14B,actionhist,33.333333333333336,47.14045207910317,66.66666666666667,94.28090415820634,100.0,141.4213562373095,133.33333333333334,188.56180831641268,166.66666666666666,235.70226039551585,200.0,282.842712474619,233.33333333333337,329.98316455372213,266.6666666666667,377.12361663282536
abandit,sent_helpful,high_scale,14B,fullhist,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317,33.333333333333336,47.14045207910317
abandit,sent_helpful,high_scale,14B,summhist,100.0,70.71067811865476,150.0,122.47448713915892,233.33333333333337,184.08935028645433,300.0,187.0828693386971,383.3333333333333,188.56180831641268,383.3333333333333,188.56180831641268,383.3333333333333,188.56180831641268,383.3333333333333,188.56180831641268
abandit,sent_helpful,high_scale,8B,actionhist,100.0,0.0,200.0,0.0,300.0,0.0,400.0,0.0,500.0,0.0,600.0,0.0,700.0,0.0,800.0,0.0
abandit,sent_helpful,high_scale,8B,fullhist,66.66666666666667,47.14045207910317,133.33333333333334,47.14045207910317,266.6666666666667,23.570226039551585,300.0,70.71067811865476,333.3333333333333,117.85113019775793,366.6666666666667,164.99158227686107,400.0,212.1320343559643,433.3333333333333,259.27248643506744
abandit,sent_helpful,high_scale,8B,summhist,100.0,0.0,200.0,0.0,300.0,0.0,400.0,0.0,500.0,0.0,600.0,0.0,700.0,0.0,800.0,0.0
abandit,sent_helpful,low_scale,14B,actionhist,1.0,0.7071067811865476,2.0,1.4142135623730951,2.3333333333333335,1.699673171197595,2.6666666666666665,1.8856180831641267,2.6666666666666665,1.8856180831641267,2.6666666666666665,1.8856180831641267,2.6666666666666665,1.8856180831641267,2.6666666666666665,1.8856180831641267
abandit,sent_helpful,low_scale,14B,fullhist,0.8333333333333334,0.6236095644623235,1.1666666666666667,0.2357022603955158,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
abandit,sent_helpful,low_scale,14B,summhist,1.0,0.7071067811865476,1.3333333333333333,1.0274023338281628,1.6666666666666667,0.6236095644623235,2.1666666666666665,0.4714045207910317,2.1666666666666665,0.4714045207910317,2.1666666666666665,0.4714045207910317,2.1666666666666665,0.4714045207910317,2.1666666666666665,0.4714045207910317
abandit,sent_helpful,low_scale,8B,actionhist,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0
abandit,sent_helpful,low_scale,8B,fullhist,1.0,0.0,1.3333333333333333,0.4714045207910317,2.0,0.816496580927726,2.3333333333333335,1.247219128924647,2.6666666666666665,1.699673171197595,3.0,2.160246899469287,3.3333333333333335,2.6246692913372702,3.6666666666666665,3.091206165165235
abandit,sent_helpful,low_scale,8B,summhist,0.6666666666666666,0.4714045207910317,1.6666666666666667,0.4714045207910317,2.3333333333333335,0.9428090415820634,3.0,1.4142135623730951,3.6666666666666665,1.8856180831641267,4.333333333333333,2.357022603955158,5.0,2.8284271247461903,5.666666666666667,3.299831645537222
